trajectory_id,seed,arm,original_role,v2_role,anchor,n,noise_replica,ablation,fit_budget,representation,input_mode,rank_cap,actual_rank,k,alpha,predicted_difference_norm,prediction_hash,prediction_key,prediction_file,delta_pX_error_ss,delta_pX_truth_ss,delta_v_error_ss,delta_v_truth_ss,full_error_ss,full_truth_ss,treatment_status
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,reference_nonzero,8,per_prompt,actual_d,1,1,20,0.01,0.07517536648739646,7ff9d1d1ae3e462bb239e6057d50a512dbff5cc8d45f2550f5ed78f540cca72f,a8_nNone_r1_reference_nonzero,predictions/seed101_X_BASE.npz,9.70724948780406e-06,6.661739653354328e-06,1.4810922503588695e-05,0.0001377674447900788,0.002399430377878294,0.00978039595705986,NONZERO_EFFECTIVE_TREATMENT
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_1,1,per_prompt,actual_d,1,1,3,0.01,0.04955251462599709,3371e2053e49961d1c95fbaee9b1b2cae989109f726d2b0b355227f688a51668,a8_nNone_r1_fit_budget_1,predictions/seed101_X_BASE.npz,5.683696456632497e-07,6.661739653354328e-06,8.714777933924398e-05,0.0001377674447900788,0.0029583037872761495,0.00978039595705986,NONZERO_EFFECTIVE_TREATMENT
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_2,2,per_prompt,actual_d,1,1,5,0.01,0.06412976019755606,00dee8a883c3714625f9720ac8bc867dea907769eff6dccbb481c16db0ea0244,a8_nNone_r1_fit_budget_2,predictions/seed101_X_BASE.npz,2.405789956601979e-06,6.661739653354328e-06,0.0003154796457151217,0.0001377674447900788,0.006261875858136239,0.00978039595705986,NONZERO_EFFECTIVE_TREATMENT
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_4,4,per_prompt,actual_d,1,1,11,0.01,0.05697207732488867,6130ef52f11c8195d31b74ab500841f2565b62069ac19178e415f0a92790736d,a8_nNone_r1_fit_budget_4,predictions/seed101_X_BASE.npz,1.140922779666027e-06,6.661739653354328e-06,3.7529504864564664e-05,0.0001377674447900788,0.001876197095749153,0.00978039595705986,NONZERO_EFFECTIVE_TREATMENT
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,pooled,8,pooled,actual_d,1,1,20,0.01,0.07436388582707916,4ce756a2c623d8f1b86323ae2d4d3691553ceb72b52e6986d0e21fb8edfffeca,a8_nNone_r1_pooled,predictions/seed101_X_BASE.npz,1.1729777196775736e-05,6.661739653354328e-06,1.8495673200969462e-05,0.0001377674447900788,0.0025740381024984466,0.00978039595705986,NONZERO_EFFECTIVE_TREATMENT
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,six_group,8,six_group,actual_d,1,1,20,0.01,0.07439880054965015,431dcb3964b103a59e71304eaca2c9adf137ca2de8effca2d301c328f88f6992,a8_nNone_r1_six_group,predictions/seed101_X_BASE.npz,1.1748970661101961e-05,6.661739653354328e-06,1.858752665291856e-05,0.0001377674447900788,0.0025774711858915075,0.00978039595705986,NONZERO_EFFECTIVE_TREATMENT
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,norm_only,8,per_prompt,norm_only,1,1,1,0.01,0.002523222870564362,27ce8844286de806b341301f2195d7044d4696553ed154b7584d144d7b17ed8b,a8_nNone_r1_norm_only,predictions/seed101_X_BASE.npz,6.3251855576616615e-06,6.661739653354328e-06,0.00014240950556429027,0.0001377674447900788,0.009772749068325547,0.00978039595705986,NONZERO_EFFECTIVE_TREATMENT
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,sgd_proxy,8,per_prompt,sgd_proxy,1,1,19,0.01,0.028358732784889887,358bd183a03c96a41299401c8c916dee160dd1c6e73bd8fdef1e603641296f6f,a8_nNone_r1_sgd_proxy,predictions/seed101_X_BASE.npz,3.0908819502800993e-06,6.661739653354328e-06,0.00026324892026272697,0.0001377674447900788,0.010105948709118285,0.00978039595705986,NONZERO_EFFECTIVE_TREATMENT
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,reference_nonzero,8,per_prompt,actual_d,2,2,20,0.01,0.06463967140619319,288b90b5e2b8e888262d04922d60d6dadf58ff0417c5ea9e4849b8e810ad6445,a8_nNone_r2_reference_nonzero,predictions/seed101_X_BASE.npz,5.670032551310945e-07,6.661739653354328e-06,3.228860869499003e-05,0.0001377674447900788,0.001351010601355628,0.00978039595705986,NONZERO_EFFECTIVE_TREATMENT
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_1,1,per_prompt,actual_d,2,2,3,0.01,0.04124549398934573,295b00b65b762cb3ee87c885f8bfd55330d93969ebe131834c3a50b6c7cc8b7a,a8_nNone_r2_fit_budget_1,predictions/seed101_X_BASE.npz,7.335350755018185e-07,6.661739653354328e-06,9.801948274816264e-05,0.0001377674447900788,0.0038207935111799506,0.00978039595705986,NONZERO_EFFECTIVE_TREATMENT
