trajectory_id,seed,arm,original_role,v2_role,anchor,n,noise_replica,ablation,fit_budget,representation,input_mode,rank_cap,actual_rank,k,alpha,prediction_key,prediction_file,contrast,contrast_axis_index,predicted_difference_norm,prediction_hash,joint_packet_hash,full_error_ss,full_truth_ss,delta_pX_error_ss,delta_pX_truth_ss,delta_pX_mae,delta_pX_q95,delta_v_error_ss,delta_v_truth_ss,delta_v_mae,delta_v_q95
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,reference_nonzero,8,per_prompt,actual_d,1,1,20,0.01,a8_nNone_r1_reference_nonzero,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.06469168241803419,b1788a7dd666c51e6dd9915ea2b5f6bc71f84c927895f495e502e9645f382da6,7ff9d1d1ae3e462bb239e6057d50a512dbff5cc8d45f2550f5ed78f540cca72f,0.0019288375454473835,0.007749546613562489,7.724123824338474e-06,5.376285322035297e-06,0.0005463502660737614,0.0006770155948589365,8.054937028939092e-06,0.00010944173403683159,0.0005254497069484787,0.0008958055316953107
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,reference_nonzero,8,per_prompt,actual_d,1,1,20,0.01,a8_nNone_r1_reference_nonzero,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.03829258351741988,b48f24a6bba29dc4ac558fcd7b76dcfc904074fce319a2be890e5f18aba14de2,7ff9d1d1ae3e462bb239e6057d50a512dbff5cc8d45f2550f5ed78f540cca72f,0.00047059283243091016,0.0020308493434973702,1.983125663465588e-06,1.2854543313190306e-06,0.00022585962439350423,0.0004427453545119195,6.755985474649605e-06,2.8325710753247257e-05,0.00042702672882173593,0.0007873923391810096
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_1,1,per_prompt,actual_d,1,1,3,0.01,a8_nNone_r1_fit_budget_1,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.0443179752468481,d6de3d115c49551ca4fb4e15c8f5c80c42971bd1e2b88807e3405dd51081a464,3371e2053e49961d1c95fbaee9b1b2cae989109f726d2b0b355227f688a51668,0.002323261004227882,0.007749546613562489,4.526634072993771e-07,5.376285322035297e-06,0.00012628644775785147,0.00019844617386626027,6.915949623534116e-05,0.00010944173403683159,0.0016919247099094071,0.0018842141295081678
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_1,1,per_prompt,actual_d,1,1,3,0.01,a8_nNone_r1_fit_budget_1,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.02216683955324743,5622ea0b06353e2202c8972a82fe95dcfafa1e4f944ea57fc5fd12a5a18172e7,3371e2053e49961d1c95fbaee9b1b2cae989109f726d2b0b355227f688a51668,0.0006350427830482679,0.0020308493434973702,1.1570623836387263e-07,1.2854543313190306e-06,5.857539717063512e-05,0.00010672842885218105,1.7988283103902833e-05,2.8325710753247257e-05,0.0007396350238556953,0.0011715939773483815
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_2,2,per_prompt,actual_d,1,1,5,0.01,a8_nNone_r1_fit_budget_2,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.057256117110638466,e969beb86c5fe5f15bbfabb307d0789ec1de22a6b9994e7e1d823cc3dde02593,00dee8a883c3714625f9720ac8bc867dea907769eff6dccbb481c16db0ea0244,0.004945598692761369,0.007749546613562489,1.8553044171623922e-06,5.376285322035297e-06,0.00026027835118096334,0.0004016587733882991,0.00025077801208504776,0.00010944173403683159,0.0032165740776958045,0.003797656416941225
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_2,2,per_prompt,actual_d,1,1,5,0.01,a8_nNone_r1_fit_budget_2,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.028885345703468707,a7ec2ff7482a0c4b9f7ad197a9101ca8149c643b7b30670cc48ae84b8d24e9d5,00dee8a883c3714625f9720ac8bc867dea907769eff6dccbb481c16db0ea0244,0.0013162771653748705,0.0020308493434973702,5.50485539439587e-07,1.2854543313190306e-06,0.00012815875195905767,0.0002355133420966245,6.470163363007394e-05,2.8325710753247257e-05,0.001399243289542596,0.002235333482483719
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_4,4,per_prompt,actual_d,1,1,11,0.01,a8_nNone_r1_fit_budget_4,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.0499311903804772,d7925677a1b3b1da57a83475c152b8fe8ad825ec7fb56a9bfdbffd77beca9458,6130ef52f11c8195d31b74ab500841f2565b62069ac19178e415f0a92790736d,0.0015410107968568784,0.007749546613562489,9.876736751219264e-07,5.376285322035297e-06,0.00017642758456218698,0.0002770472710580247,3.0486220156845397e-05,0.00010944173403683159,0.0011113076293462146,0.001396842374834134
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_4,4,per_prompt,actual_d,1,1,11,0.01,a8_nNone_r1_fit_budget_4,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.02743526602571287,7b4bb6d32f0f70748601f49049fdfc8b0c68493da51bd30b46561f0f4f8277f6,6130ef52f11c8195d31b74ab500841f2565b62069ac19178e415f0a92790736d,0.00033518629889227455,0.0020308493434973702,1.5324910454410057e-07,1.2854543313190306e-06,5.8344033566644014e-05,0.00013809863790293763,7.043284707719274e-06,2.8325710753247257e-05,0.00046751502041193093,0.000680163240405268
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,pooled,8,pooled,actual_d,1,1,20,0.01,a8_nNone_r1_pooled,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.06396763855673303,cc1111b17b93b1a74b662286fcf2cfb8563e901827a3b1e6e0af8b591f055e06,4ce756a2c623d8f1b86323ae2d4d3691553ceb72b52e6986d0e21fb8edfffeca,0.002055538758233528,0.007749546613562489,9.273278098702303e-06,5.376285322035297e-06,0.0006003530955663302,0.0007573608763653814,1.0339395636110542e-05,0.00010944173403683159,0.0005783392919408705,0.000997275924419742
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,pooled,8,pooled,actual_d,1,1,20,0.01,a8_nNone_r1_pooled,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.03792266779616153,83201c0a2365401fe61db42ed2fc4233f9b97f6213f5069076c75e0407dcbc54,4ce756a2c623d8f1b86323ae2d4d3691553ceb72b52e6986d0e21fb8edfffeca,0.0005184993442649181,0.0020308493434973702,2.4564990980734335e-06,1.2854543313190306e-06,0.00025187946712675583,0.0004937080767483703,8.156277564858905e-06,2.8325710753247257e-05,0.0004605349249518873,0.0008507693631044742
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,six_group,8,six_group,actual_d,1,1,20,0.01,a8_nNone_r1_six_group,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.06399746094437818,9f65f6ecd5a7b6800eb2097400b4edfdf033d63736de831fb19cc3112a152edc,431dcb3964b103a59e71304eaca2c9adf137ca2de8effca2d301c328f88f6992,0.0020583012894004058,0.007749546613562489,9.28793101073327e-06,5.376285322035297e-06,0.0006010425963173972,0.0007401407175958887,1.0396605951863525e-05,0.00010944173403683159,0.0005795596430699944,0.001000682800976531
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,six_group,8,six_group,actual_d,1,1,20,0.01,a8_nNone_r1_six_group,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.03794082914090589,c8051c6a1a2218271eb55c21e33ce0a27135a348273b81d7f147389966c5c941,431dcb3964b103a59e71304eaca2c9adf137ca2de8effca2d301c328f88f6992,0.0005191698964911017,0.0020308493434973702,2.461039650368691e-06,1.2854543313190306e-06,0.0002522121603031984,0.000489387817187837,8.190920701055036e-06,2.8325710753247257e-05,0.00046116066213973856,0.0008690777309418347
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,norm_only,8,per_prompt,norm_only,1,1,1,0.01,a8_nNone_r1_norm_only,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.0016694745116745716,c41958c21164cdcee1086e30383dd544faf20b4c29dfad73729074fb2cbb5a5c,27ce8844286de806b341301f2195d7044d4696553ed154b7584d144d7b17ed8b,0.0077415815581201915,0.007749546613562489,5.282941084831798e-06,5.376285322035297e-06,0.0004486198729819625,0.0006057241163688492,0.00011014480504200167,0.00010944173403683159,0.002139011646787212,0.0023390997082514877
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,norm_only,8,per_prompt,norm_only,1,1,1,0.01,a8_nNone_r1_norm_only,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.0018919589079596862,b88440ef2347a8c184b4f949f8842d17b656b71672269d4805ea32c866010b48,27ce8844286de806b341301f2195d7044d4696553ed154b7584d144d7b17ed8b,0.0020311675102053567,0.0020308493434973702,1.0422444728298643e-06,1.2854543313190306e-06,0.0001634834787916776,0.00033573824323025715,3.2264700522288636e-05,2.8325710753247257e-05,0.0009850297744167383,0.0015871051620179252
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,sgd_proxy,8,per_prompt,sgd_proxy,1,1,19,0.01,a8_nNone_r1_sgd_proxy,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.025079040311581834,8ba2e1a307a687df286cbf524a660e5a6d1a2138f90d1b1028bfbd4ef87f0703,358bd183a03c96a41299401c8c916dee160dd1c6e73bd8fdef1e603641296f6f,0.008034255565174661,0.007749546613562489,2.889888079111344e-06,5.376285322035297e-06,0.0002695233073724594,0.0005336161956009393,0.00020389922158170622,0.00010944173403683159,0.0028510969033954565,0.0038311765917766307
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,sgd_proxy,8,per_prompt,sgd_proxy,1,1,19,0.01,a8_nNone_r1_sgd_proxy,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.013238559672972048,049a55821a5b063e9b91432c6354125d2430fff6f5858c5453f855d953496e1d,358bd183a03c96a41299401c8c916dee160dd1c6e73bd8fdef1e603641296f6f,0.0020716931439436225,0.0020308493434973702,2.0099387116875513e-07,1.2854543313190306e-06,5.856057677014714e-05,0.00019163305707712433,5.934969868102073e-05,2.8325710753247257e-05,0.0013092076589108312,0.002421072004967139
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,reference_nonzero,8,per_prompt,actual_d,2,2,20,0.01,a8_nNone_r2_reference_nonzero,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.05585893576769403,55afc18aa8a9de7d87672bdd05b1f2a6a10725dcce5c2149e32c6339e260cf10,288b90b5e2b8e888262d04922d60d6dadf58ff0417c5ea9e4849b8e810ad6445,0.001154105766271265,0.007749546613562489,4.829388061696547e-07,5.376285322035297e-06,0.00013637773549911354,0.0001918628947670181,2.7562005242774495e-05,0.00010944173403683159,0.0010557585545952204,0.0013761043596379067
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,reference_nonzero,8,per_prompt,actual_d,2,2,20,0.01,a8_nNone_r2_reference_nonzero,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.03252793283320141,652a20bb276cd7b6e9fc3cacaeb896e27898244f4fae26bd5bdfadd48e8db9a1,288b90b5e2b8e888262d04922d60d6dadf58ff0417c5ea9e4849b8e810ad6445,0.0001969048350843629,0.0020308493434973702,8.406444896143978e-08,1.2854543313190306e-06,4.283955141011364e-05,0.00011007808111904384,4.7266034522155335e-06,2.8325710753247257e-05,0.00037684129620333616,0.0006411924030956339
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_1,1,per_prompt,actual_d,2,2,3,0.01,a8_nNone_r2_fit_budget_1,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.037017107204386585,59c049a33752c1401cc328abed310be5d3327b89f3dae42ba6706e7fac9645e4,295b00b65b762cb3ee87c885f8bfd55330d93969ebe131834c3a50b6c7cc8b7a,0.0030090617413428204,0.007749546613562489,5.786064402904639e-07,5.376285322035297e-06,0.00014728492122719744,0.00020354511015444998,7.81235234311894e-05,0.00010944173403683159,0.0017868422356689818,0.0021421838782635654
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_1,1,per_prompt,actual_d,2,2,3,0.01,a8_nNone_r2_fit_budget_1,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.018191331689684117,7113c8cc588c00e61700e70f1ee88af3740e8dbb09093c487aae82e987da5319,295b00b65b762cb3ee87c885f8bfd55330d93969ebe131834c3a50b6c7cc8b7a,0.0008117317698371302,0.0020308493434973702,1.5492863521135457e-07,1.2854543313190306e-06,5.834825928411461e-05,0.00014632935173492035,1.989595931697325e-05,2.8325710753247257e-05,0.0007654058334828863,0.0012568710850154054
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_2,2,per_prompt,actual_d,2,2,5,0.01,a8_nNone_r2_fit_budget_2,predictions/seed101_X_BASE.npz,joint_1_minus_joint_0,0,0.032425518812759214,81b69090ceafbc7245c3373399a90348245ac9f6b40df7f86c1a43f48b31d536,ebb84705ccd699c0185fd67ee618fe8b64be7ff52d1dbfefcceab94abea30ea5,0.0036128435845574226,0.007749546613562489,7.248650100111474e-07,5.376285322035297e-06,0.00016552384402501014,0.00022631063338312784,9.12849403343262e-05,0.00010944173403683159,0.001932687436804459,0.0023300233980805326
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,exact,,fit_budget_2,2,per_prompt,actual_d,2,2,5,0.01,a8_nNone_r2_fit_budget_2,predictions/seed101_X_BASE.npz,no_x_off_1_minus_joint_0,1,0.016028444820229974,a85c50a6448df46790a558c5cac3a76fdbb7853463e6f25990dea6b9eeb3acce,ebb84705ccd699c0185fd67ee618fe8b64be7ff52d1dbfefcceab94abea30ea5,0.0009640981960043354,0.0020308493434973702,1.8429465162514332e-07,1.2854543313190306e-06,6.413791222571224e-05,0.00015386618071828559,2.3078451629490833e-05,2.8325710753247257e-05,0.0008243762064775983,0.0013657688007575814
